Gene	Count
TPST2	7
MASP2	4
CXCR5	6
POLR2L	1
BEX4	0
SAMHD1	3
OSBPL8	4
AARS	7
SEPT4	2
TRDD3	2
TM4SF2,PRRG1	0
IGHM	5
EPB41L2	11
ZNF607	3
SYNE4	8
BSND	7
ERG	4
PRRC1	5
CCDC169-SOHLH2,SOHLH2	4
TRBV6-8	0
DDX51	8
AC145676.2	1
HOXB5	4
C17orf67	0
MED18	3
LTBR	6
TMEM222	1
HOXD1	4
SLC39A10	16
BTBD3	5
PPP2R4	1
PVRL4	8
CDT1	6
MAGEA6	0
TMEM79	4
C16orf89	5
BRI3BP	5
PODXL2	6
ZNF362	6
C4orf46	0
LCE1E	14
SOS1	9
ZYG11B	4
MPV17L2	5
SHANK2	15
PIGB	1
EDIL3	5
PLEKHA8	5
OPTN	3
OVOL2	2
KRTAP10-4	2
FOXI2	6
TRIOBP	22
RABL2A	0
PGAM2	6
VWA7	12
SERF2	2
TRIM2	12
ITIH4	8
KIAA1614	16
SMG8,CTD-2510F5.6	0
HSD17B10	0
PPP2R1A	2
HAO2	6
ITGA2	9
RFC5	3
PLEKHJ1	0
PEX5	13
PELP1	18
SERPINB10	8
ALG1	6
C20orf173	0
CACNA1C	23
TAS2R20	2
TMEM183A	6
ANGEL1	10
YRDC	1
HMCN1	55
TIMMDC1	1
PBX2	4
ZC3H13	8
ZNF536	18
PP2D1	4
PPIL6	3
ARIH2	2
AL138764.1	0
GAD1	10
MPPED1	3
LIMA1	7
EXOC5	7
ATP6V0C,ATP6C	0
LOX	4
EIF3H	3
C10orf111	0
COG7	6
MLF2	4
LRRC32	17
TUBA8	2
NCAPG2	9
OR4D10	4
MTMR12	2
CMTM5	1
GOLGB1	12
CARHSP1	3
AC022498.1	1
SLC7A9	5
FGFBP1	5
HYAL3	6
IRG1	0
PSMD10	0
PCBD1	1
ATP10D	8
TMEM168	4
RERE	16
S100A2	1
ZC2HC1B	0
ADCK2	11
FAM19A1	1
MAGEA1	0
NCOA2	13
KIAA1467	8
PDHA2	8
C1QTNF6	8
PCDHGB2	0
SNN	3
OR6Y1	3
MAP3K1	12
TICAM2,TMED7-TICAM2	0
CLIC2	0
LIN52	0
TRIM6	2
OR4E2	1
WDR47	6
NECAB2	8
TMEM145	4
CBWD5	0
IGHE	0
LBP	5
RTEL1-TNFRSF6B,RTEL1	5
CRADD	0
RRAGC	4
DDX42	18
SELE	10
SLC16A3	15
TP53I11	8
ATG10	0
GTPBP1	11
POLE4	0
RTN4RL1	16
CDC7	2
SLX4	28
UPK1B,RP11-484M3.5	1
DTX1	7
SWAP70	2
KLK14	1
PADI2	15
POP4	6
SPIN4	0
KRTAP4-16P	0
SH3YL1	4
SLC52A3	10
ZMIZ1	16
RP11-293I14.2,THAP2	0
BEGAIN	10
FCF1	1
POP5	1
LHFPL3	3
ABI3	6
MORF4L2	0
GPR160	1
COA1	3
PITPNB	1
CEP170	12
EREG	1
FAM205A	2
NLRP13	6
CEP112	2
RAB7A	0
TLN2	19
ACER3	1
HERPUD2	3
TRAV1-2	3
SLC25A46	5
RP11-47I22.3	0
BIRC2	4
C2CD5	11
TLE4	5
DLX3	0
CLIP2	23
ADAT2	2
HTR3D	0
OR13D1	1
ISG20L2	1
TADA2B	8
MROH1	7
MAPK6	5
HNRNPUL2	2
SPATA19	1
ANKS1A	12
C10orf25	1
ZNF223	4
SLC5A9	12
CALML5	5
ALOXE3	4
IFNAR2,AP000295.9	3
CLUH	20
AP002348.1	0
NFYB	0
HIVEP3	26
TAP2	9
TRAF3IP2	5
OR52N5	4
H1FX	3
SPDYC	3
KIAA1586	4
TRAJ6	0
EIF3B	7
RABGGTB	4
KRTAP19-7	5
AC115618.1	0
RMND5A	2
LRRC9	1
UNC5C	9
PPP4R1L	1
WDR78	7
ATF5	4
KLK8	8
LHCGR	3
F2RL3	7
TNRC6B	39
C20orf27	1
IGLV3-27	0
B9D1	2
ST8SIA2	8
FBXL12	3
HAPLN4	7
LRRC71	3
MED30	2
DKK3	5
G6PC2	3
URM1	0
TEPP	8
NCOA1	16
CTRB2	4
TRIM16	0
FUOM	0
SYT7	4
ZC3HAV1L	3
TNK1	8
CTNND2	14
KLHL41,RP11-724O16.1	2
CCDC17	4
PPP2R5A	2
WNK2	28
PSMD13	2
COMMD2	0
GNG5P2	0
CSRNP3	6
FARSA	7
SGPP2	7
MBD1	4
FRMPD1	8
PCDHB12	9
YY2	0
CNOT6L	0
ZDHHC21	4
PGRMC2	6
CCDC181	0
ATXN1	20
PDE4C	6
NFKBID	2
MPP4	1
PCYT1B	0
TUBA4A	5
SDR9C7	7
NPHP1	5
DCTN2	2
ATP6V1C2	5
CMA1	5
ARFRP1	4
EIF4G3	13
RAB40B	5
ROCK1	4
EFEMP1	2
NDST1	9
ACOX2	9
CYB5A	2
ING1	11
DERL2	3
KIAA1211	15
LRRC43	9
HLA-G	0
ZFX	0
EMX1	6
SLC2A1	8
MGAT1	8
LRRC27	5
ZSWIM3	4
FLRT3	2
PLCG1	12
IL20RB	1
EPS15	6
CD1C	0
UGCG	4
PCBD2	1
NEDD8-MDP1,NEDD8	0
GRSF1	4
NDUFA11	1
LBX2	0
ATP6V0A1	2
FAM19A5	5
TRIP6	17
PTPRT	21
TAF15	38
POLDIP3	5
MYSM1	5
ACSL6	13
CAPN12	26
TRAV22	2
TRAJ7	1
DNAJC28	3
CEBPG	2
TGFB3	3
MYO10	22
NCS1	3
APOBEC3H	0
SNAP29	1
ELF5	1
CEMP1,AMDHD2	0
AGO3	4
ROPN1B	1
IQCJ-SCHIP1	5
GRIN3A	12
ONECUT2	4
CHMP1B	1
KCNG4	9
MAP1LC3C	0
LTF	13
NOS1	21
PROX2	4
TTC23L	4
NXF2B	0
ADO	8
SGSM3	11
SNRPG	2
PLIN3	2
MKS1	5
TMTC2	4
AL358113.1	0
CAMKK1	8
SLC25A6	0
ZNF215	3
FAM194A	3
YAP1	2
CYB5B	2
HYAL4	6
RHPN2	7
SP7	10
ZNF778	16
BRE	3
POC1A	2
FGFR4	10
C9orf131	15
WDR27	5
PPTC7	3
INTS10	8
FAM179B	15
RNF181	0
ZIC4	5
BMPR1A	5
EIF5AL1	0
TLL2	14
ANKMY2	4
MC4R	7
VWA3B	11
TRPM8	5
TMEM110-MUSTN1,RP5-966M1.6,MUSTN1	0
RBM4B	6
PFDN5	0
U2SURP	5
RENBP	0
KIAA1644	3
LINC01100	2
CD300E	4
C2orf71	14
ZBTB14	2
RNF13	0
AL353354.2	0
MCEE	2
RDH13	5
UBE2S	0
XPO6	3
PLD5	3
ASF1B	3
SYPL1	2
ERLIN1	4
RP11-279O9.4	0
HBE1	0
LRRC61	2
TMX2-CTNND1	0
SRRM3	5
RP3-422G23.4	0
RGPD4	0
TEX33	1
C9orf85	1
CCDC6	1
DXO	4
TNFSF13	1
ZNF568	4
IL11RA	3
CXCL12	0
LMO3	0
RASSF1	4
SPG7	12
CIB4	1
PHF6	0
SMEK2	3
S100A10	2
IL22	2
FCRL6	8
LRRC47	9
CCDC102A	4
TROAP	7
FSTL4	11
MXD3	6
DCDC2B	4
TAOK3	5
PNPLA8	7
L1TD1	10
EPG5	12
KCNS2	7
FERMT2	3
GFY	1
MBNL3	0
C9orf156	9
MATN4	11
ENPP4	3
TMPRSS2	10
SMTN	8
GSDMD	7
PCDHA11	15
CCDC88A	1
DTHD1	0
RNASEL	7
BAMBI	3
ASB16	6
RP11-17M16.1	0
C19orf24	1
COX15	2
AC011239.1	0
ZNF346	1
ERI2	0
MKKS	5
MAGEA11	0
AC096582.1	0
FRMPD2	6
C2orf49	4
RTN4R	8
GINM1	5
OR5AN1	4
JPH1	16
KRTAP4-12	0
PRRC2A	35
KRTAP19-8	3
PLA2G4E	8
RP11-145E5.5,MTAP	5
SEC22C	1
MAP3K6	9
ANAPC11	1
ZNF627	4
SLC22A24	1
PRPF4	3
EIF2B1	2
SPP2	3
PLB1	13
RNF123	11
SCNM1	1
GNAI1	5
FSD2	3
NFATC2	17
OPHN1	0
SLC3A2	11
MORN5	4
ATP6V0E1	0
FAM160B1	5
CLDN9	9
ANG,AL163636.6	0
DUXA	1
CACNG6	2
WFIKKN1	11
PEG10	1
EBF1	8
LIAS	7
SLC44A5	5
SEL1L	8
TSACC	0
ZNF700	7
AL590483.1	0
COX5B	0
NPY5R	4
LIN9	3
PLCB3	14
TMEM87A	5
C2orf76	1
SIAH2	3
TRADD	5
MYBL2	0
ZBED4	11
TIMM10B	0
INSM1	9
PLEKHF2	1
DST	29
MAP4K1	7
ADAM17	5
ZNF333	2
TG	37
SLC35C1	10
TRBV7-4	0
CDC25B	5
DOCK2	14
HMGXB3	5
SERPINA1	9
LILRA5	5
GABRA3	0
RMDN2	6
GPR17	3
FBXL13	3
FSIP1	3
WTAP	3
FPGS	7
SPINT1	5
GABBR2	10
TPPP	7
KCTD8	3
KCTD19	8
FUNDC2	0
MDC1	15
SPIC	4
GDPD4	3
PNMT	5
MSANTD2	6
ANXA10	3
C16orf74	3
MED17	3
POLR2J2	0
BRAP	1
FAM180A	1
WNT2	10
NT5C1A	6
SLC5A6	12
RICTOR	8
SBF1	35
TCERG1	7
MSL3	0
CHRM3	4
FAM178B	3
PCED1B	9
ITGA2B	14
SPINT2,CTB-102L5.4	0
ZNF619	5
INSRR	23
SLC19A2	3
TLX3	3
PLG	9
KRTAP21-3	0
C2CD2L	2
HOMEZ	5
CCDC54	0
TTC5	1
OR2F1	2
GSG1L	0
BCL6	6
CACNA1G	27
LINGO3	4
TGIF2-C20orf24	0
LIPJ	3
ALKBH1	5
TIGD1	0
TRBV11-1	0
NUP88	3
KIAA1210	0
UHRF1BP1	13
AGAP2-AS1,AGAP2	1
SERPINA4	2
AP1S3	0
DDX24	7
DUOXA2	8
APOL3	7
CD40LG	0
LIMS1	1
MEPE	7
NRSN1	6
RNF139	5
GPR18	3
FBXW9	3
CCL24	3
CTSZ	8
BEAN1	0
CTC-260F20.3,YJEFN3	4
KBTBD7	3
FARSB	6
MRPL47	1
ZNF225	7
SLU7	1
DUT	4
RP11-212D19.4,RBM7	0
YTHDC1	1
C2orf16	18
QKI	3
ZNF155	4
HORMAD1	2
SECISBP2	10
GOLGA6B	0
PURB	13
ZNF554	8
REXO1	19
CTD-2117L12.1	0
DSE	5
IARS2	6
SUSD3	2
GNPTG	9
TBC1D10C	3
MAK	7
IGHG4	0
CAV1	1
CDH18	8
SCCPDH	5
ZMYM5	3
KBTBD6	5
DPH6	2
CBX1	1
TRAJ18	1
KIF1A	24
CTCF	6
MAFF	1
MANEAL	4
DDX11	3
TTC9	1
IGKV6-21	0
CTC-432M15.3,RAPGEF6	8
LDHAL6B	3
C4orf6	0
ASB5	1
PACSIN2	4
LL22NC03-75H12.2	0
GABRE	0
SLC6A5	11
TMED7	0
MDH2	3
ARPP21	9
PLK2	4
C5orf17	1
RAB24	5
SEPT7	1
LRRC30	4
BHLHB9	0
PITHD1	2
LMNB1	3
PQBP1	0
CLHC1	4
TET2	5
GLB1L3	10
B4GALNT2	9
PPP2R5C	5
TOLLIP	5
CTD-2116N17.1	0
ANK2	32
VN1R1	3
SLC9A3R1	5
RP11-830F9.6	0
PLIN2	6
DRD2	2
TMEM204	2
UMODL1	22
IL10RB,AP000295.9	0
ZNF782	4
IREB2	3
CFL2	0
ZNF503	20
IL31	2
CNGA4	4
CWH43	20
TBC1D5	3
VAMP2,RP11-599B13.6	1
ARSA	6
KCNMA1	10
GSK3B	3
AP000295.9,IL10RB	0
TTLL5	6
SPDYA	2
TOB1	3
TRBV5-1	0
NPC1L1	23
NCOA5	3
KBTBD4	6
KPTN	9
ICAM5	9
CCDC135	2
KBTBD8	3
FRAS1	43
STAT5B	6
GPI	2
PJA2	4
RBMX2	0
B3GNT8	4
QDPR	3
EID2B	5
MTCP1	0
FABP4	2
FBXO38	1
ACOT9	0
PPP5D1	0
ISPD	4
ARHGAP26	4
ESR1	5
CASQ2	4
TSNAXIP1	1
PYGL	11
NPHS1	21
TRAV27	5
NFXL1	5
GKN2	2
KDM6B	37
SFTPC	5
ANO7	11
PLOD3	12
OR1J4	5
SCGB1D1	1
DUSP18	0
USB1	3
IGLV1-51	0
SDHAF1	1
C10orf118	3
TGFBR1	2
GZF1	1
SNX15	6
PLXNA3	0
HS2ST1	1
NMRK2	3
ESRRB	5
GPC5	8
EGFR	19
WSB1	5
ATRNL1	14
RBM12	16
IGKV3-11	0
AC022400.2,FUT11	0
LEPROT	1
KRT9	27
ATG16L1	4
ZIM3	5
MTMR11	8
IFNGR1	2
ORM2	0
SAMM50	7
BTG1	0
NEUROD6	4
PPEF1	0
KDM3B	22
C16orf45	0
ARMCX6	0
SMIM5	0
AC016885.1	0
ZNF501	1
ZNF625,ZNF625-ZNF20	0
MICALL2	11
PDX1	7
SLC2A7	11
SPRR2D	0
ORMDL2	1
COL4A1	77
CSF3	6
OSBP	8
CREB1	1
CALN1	1
METTL22	8
CCDC67	2
GPR84	5
FIG4	5
PHF7	4
RP11-468E2.6,DCAF11	3
PABPC1L	4
SIRT2	2
NAA20	1
KDM2B	12
SEC13	1
RPS11	0
IGFN1	53
GAD2	10
CDC73	4
EBLN1	2
P2RX4	4
LTBP4	30
AGT	11
PHTF1	10
PRPF38B	1
FLAD1	3
C11orf88	2
GAS7	0
ABHD14A-ACY1,ACY1	0
TMCO2	2
KCNK1	3
CHD5	20
HMOX2	3
SPANXN1	0
WFDC10B	0
FTHL17	0
NAA38	2
FHOD3	10
HSPA5	6
WDPCP	5
HES7	2
NOX4	9
MSR1	6
PRR5-ARHGAP8,ARHGAP8	10
MAFB	0
CBX6	8
LRRC55	3
OR10G8	2
ACAD11	11
STON1-GTF2A1L,GTF2A1L	2
FUZ	2
KIAA2026	23
SNTA1	3
COG1	4
WDR45B	4
MMP14	13
BTN2A1	7
MON1B	6
ZNF260	3
IGLV3-22	0
GPATCH2L	3
TPI1	1
MAP3K13	3
DMRTC2	5
RSF1	9
SSX3	0
CMYA5	28
NARFL	3
ELL3	3
SSTR2	4
PPP1R21	5
UBE2L3	0
HP	6
ZNF724P	6
TFAP4	2
PCP4	0
AC104057.1	1
AMER2	21
TASP1	9
CUEDC1	6
KCNJ15	2
KAZN	10
GPN3	0
CFB,C2	5
NKX2-1	11
TRGV4	0
PYCARD	0
TRAK1	11
PARP10	17
SORBS1	16
LENG9	7
YIPF1	2
ZBTB40	6
C11orf70	0
P2RY11,PPAN-P2RY11,PPAN	2
ZXDA	0
KLK2	0
POU2F3	6
OR51F2	2
ZNF438	6
ZNF763,ZNF700	1
CRYGD	0
EIF3K	3
ZNF423	13
PPP1R17	0
RPE	1
EIF2AK3	6
BTF3	2
FDPS	3
FCHSD1	3
PDE8B	6
HIST1H4H	0
BRF1	14
LTA	4
HGF	9
SHROOM4	0
AL645608.1,SAMD11	0
OCLN	3
FEM1A	9
SLC22A31	5
IST1	3
ARSF	0
TNXB	5
MYOZ2	1
PARP6	6
MTMR14	9
PSMD9	0
CENPM	1
C12orf74	3
HDGFRP2	4
SLC36A2	5
PCDHGA6	0
RAB11B	6
SMU1	4
MAP7	5
RCAN1	1
SLC39A8	6
NDUFA8	1
RP5-966M1.6	0
TRHR	2
AL020996.1	0
KIAA1024L	0
TPD52L3	4
HCST	1
FAM177A1	1
OR5AL1	0
TRAV13-1	1
UBOX5	8
RPP30	2
HAUS5	8
CCDC180	6
SIRPB1	0
EMILIN3	15
RPL37	0
DUSP15	6
NPRL3	4
USP43	13
APCS	1
HIST2H2BF	2
ST6GALNAC1	5
PSD2	17
KCNJ5	8
IGHG1	2
ANXA1	3
RGS21	0
KLF8	0
ZNF169	8
PRH2	0
MIS12	0
ZP3	4
IGFL3	1
AC026202.1	3
SPIRE1	4
ZNF385A	12
PTGIS	3
LDHA	3
FLVCR1	7
PRAP1	1
LAD1	3
SLC15A2	4
HRASLS2	2
TCTN3	5
NGLY1	4
VWA5B2	5
AHCYL2	9
MAPRE1	3
IL23R	3
KIF5C	8
CXCL17	2
IQGAP3	13
VSIG1	0
DCLK3	6
SDHB	0
MMP13	6
SLC22A23	8
TRAJ43	1
FAM73A	2
SRPR	4
FBXO39	3
C4BPB	4
GTSE1	6
GIT1	8
BICD2	7
COL17A1	37
PLA2G2D	7
OR4S2	1
THRAP3	11
TRAJ54	0
NLE1	10
DYNLL1	1
DAB1	5
FERD3L	1
TRIM16,RP11-385D13.1	0
ITGB1BP1	1
SRSF6	2
EPHB4	22
CR769776.1	0
AC009065.1	1
ISLR2	12
VIM	1
TOB2	2
CYFIP2	9
PPP6C	2
GSTZ1	1
CLGN	7
NLGN1	7
GJC1	5
KLRG1	0
TRBV5-7	0
PREX1	18
PPM1E	8
GPR62	3
PCP4L1	2
POLR2F	2
IGFBP7	4
C14orf177	0
NUDT13	4
TRAM1L1	1
RHOC	3
PTCHD3	14
CEPT1	4
OR52A1	0
GPSM3	1
HYAL2	3
TOMM40	4
SNX16	0
CASKIN1	25
KCNJ8	1
C2orf57	3
NELFCD	4
C1orf226	1
BMP10	5
MAP1LC3B	0
TIMM22	2
IFIT3	7
OR2A5	2
MB21D2	3
CEP95	5
ZFP36	7
AC129492.6	3
PPP1R9A	9
RASAL3	8
NWD1	14
ZMYM3	0
PLGLB1	0
DPF2	7
IPO13	5
KIF21B	16
MARC1	2
OR2AP1	2
KLK15	2
IGLV1-50	0
WFDC6	2
ZNF10	4
NUP153	15
SLC16A11	15
DDX59	2
CD44	13
MBTD1	3
RP11-514O12.4	1
AKNAD1	10
POLR1E	1
TPCN1	9
FOXG1	7
HIPK4	3
POU3F3	6
FAM3C	1
CNTN5	18
MRGPRX1	0
CTSV	5
PITPNM3	13
ZNF426	8
ZNF416	5
SOX1	9
RSPRY1	7
OR7D4	1
OR1D2	2
KCNQ4	11
CDCP1	6
ZFAND4	4
CFL1	1
ASPSCR1	8
SLC6A12	8
SF3B3	11
RP11-192H23.4,SGK494	5
VPS36	0
RAP1GAP2	12
SLCO4A1	27
FAM207A	3
FSHB	1
SPTSSA	0
FMOD	3
ANKRD2	4
ZNF274	5
DLC1	13
PPAN-P2RY11,PPAN	5
DNAJC30	4
FZD8	13
COL10A1	17
ZNF641	2
HPDL	8
PLCB4	6
CEA,CEACAM5	0
FAM135B	18
APBA1	12
DNASE1	4
FAM118B	8
KIAA0825	1
ZMIZ2	19
NRL	3
PDZRN4	10
COQ4	3
TLX1NB	5
TMEM39A	2
DHX38	15
CYP2C9	1
ZNF835	5
KCNJ10	2
VASP	4
KIFC1	9
SEMA3G	13
BOK	2
CCDC50	0
NPY	1
DNM2	13
CHKA	4
APOBEC3F	0
TTC28	12
RANGAP1	8
GPR151	5
PAPD5	3
WNT3A	0
FOXD4	0
EGF	8
AKAP8L	17
GNB2L1	4
TBC1D3	0
NCF2	4
MED12	0
ZNF669	8
PRIMA1	0
GLB1	11
ROS1	32
MLH3	12
ZNF382	4
HTRA3	7
PET100	0
OR51G1	3
TMEM212	1
ZNF69	0
DDX52	6
LUZP4	0
PTGER3	6
NID2	14
SLC22A6	10
TMCO4	9
C12orf55	6
SLC38A1	0
C16orf70	4
FAM170B	2
MPHOSPH8	7
CMSS1	0
TMEM105	5
DIRC2	3
ASB3,GPR75-ASB3	6
AEBP2	10
NLRP4	7
TMEM38A	3
DENND4C	6
F2	5
KRTAP15-1	4
CUL3	4
LMTK2	18
DNAJC7	2
STX16-NPEPL1	1
GARNL3	8
HCAR3	3
MIER2	4
GMFG	0
SYCN	5
FCHO1	7
NYAP2	6
RAPGEF3	4
OR51B5	1
HERC1	38
WAPAL	7
AC010536.1	2
MAGI2	17
RAD21L1	1
RTN4RL2	5
DHRS2	2
BAG2	1
C6orf201	0
HJURP	5
TAS2R60	5
SSTR5	5
TNFRSF11A	9
RFC4	1
BCORL1	0
FBXO9	1
OR10H3	0
SARS2	1
OR52H1	0
EPB41L4A-AS2	0
PPM1B	7
AKIRIN1	1
ITM2A	0
FOXA3	9
ZNF470	3
NIPA2	7
VCX2	0
RP11-796G6.2	0
OSBPL5	9
ALG10B	0
CKS1B	0
PKNOX2	4
NXNL1	1
DCDC1	3
RNLS	3
C14orf39	2
TRMT61B	8
CCDC90B	0
USP48	5
FAM63B	10
PLIN4	50
EPS8	6
AADACL2	3
HNF1A	14
THPO	4
TMX4	5
TFDP1	3
ANGPTL4	6
MRGPRE	7
LELP1	0
NFATC2IP	1
MYH11	10
GLT1D1	1
CRIM1	14
AP003068.23	0
PHC2	8
C10orf32,C10orf32-ASMT	1
CEACAM1	2
SNAP47	3
C2orf47	2
CST3	1
TAAR5	4
CDYL2	12
SCRN2	11
FAM212B	9
AC005481.5	1
CBS	9
PCDHGA3	0
PPM1G	6
ZNF407	32
CIZ1	2
ZNF558	3
MGAT4A	3
MRPS28	2
ZNF596	0
ZNF233	4
TRIB2	5
MRAP	2
RNASE2	0
HPD	11
TMSB10	0
HDAC7,AC004466.1	0
NR2C1	5
MYL1	1
CDH5	14
VHLL	2
ST3GAL5	4
C1orf186	0
CDK19	7
GPR26	1
GP1BB	1
PGAP1	3
ACN9	1
GCNT4	0
HSPD1	3
MUL1	1
DONSON,AP000304.12	0
SIRT4	0
OR2B3	1
FAM98A	20
ABHD6	4
ALDOB	4
CCDC88B	9
C7orf72	1
GTF3C3	3
OR52B4	3
ELMOD1	1
NOLC1	6
HOPX	0
FETUB	3
SDHA	9
UNC5B	13
TVP23A	2
STX17	0
CMTM2	1
